PDB1 CATH1 CATH2 PDB2 CATH1 CATH2
3lkm 3.30.200.20.212 3.20.200.10.1 4i92 3.30.200.20.16 1.10.510.10.24
1w9h 3.40.50.2300.126 3.30.420.10.56 3lop 3.40.50.2300.309 3.40.50.2300.59
3rp7 3.50.50.60.106 3.30.9.30.2 4x9m 3.50.50.60.84 3.30.9.10.20
1mwo 3.20.20.80.70 2.60.40.1180.10 3g6m 3.20.20.80.96 3.10.50.10.7
1itx 3.20.20.80.7 3.10.50.10.1 2xsb 3.20.20.80.187 1.20.58.240.1
1mwo 3.20.20.80.70 2.60.40.1180.10 3alf 3.20.20.80.98 3.10.50.10.3
2rb5 3.40.50.1000.1 3.30.1240.10.1 4dcc 3.40.50.1000.84 1.10.150.240.7
1l8t 3.30.200.20.114 3.90.1200.10.18 3gb2 3.30.200.20.80 1.10.510.10.84
3hko 3.30.200.20.59 1.10.510.10.75 4dca 3.30.200.20.96 3.90.1200.10.8
2qlt 3.40.50.1000.53 1.10.150.240.24 3pdw 3.40.50.1000.10 3.40.50.1000.114
1t46 3.30.200.20.39 1.10.510.10.16 1l8t 3.30.200.20.114 3.90.1200.10.18
1l8t 3.30.200.20.114 3.90.1200.10.18 3lkm 3.30.200.20.212 3.20.200.10.1
3co4 3.20.20.80.192 3.40.5.30.1 3w4r 3.20.20.80.132 3.10.50.10.2
3suu 3.20.20.80.46 3.30.379.10.5 3g6m 3.20.20.80.96 3.10.50.10.7
3suu 3.20.20.80.46 3.30.379.10.5 3alf 3.20.20.80.98 3.10.50.10.3
2xsb 3.20.20.80.187 1.20.58.240.1 3suu 3.20.20.80.46 3.30.379.10.5
4ofj 3.40.190.10.372 3.10.105.10.9 3uif 3.40.190.10.377 3.40.190.10.363
3gmf 3.40.30.10.191 1.10.40.110.1 3ir4 3.40.30.10.180 1.20.1050.10.5
2rb5 3.40.50.1000.1 3.30.1240.10.1 4jb3 3.40.50.1000.28 1.10.150.240.6
3lkm 3.30.200.20.212 3.20.200.10.1 5e8s 3.30.200.20.38 1.10.510.10.30
3i3l 3.50.50.60.194 3.30.390.160.1 3rp7 3.50.50.60.106 3.30.9.30.2
1z6m 3.40.30.10.25 1.10.1200.90.1 3ir4 3.40.30.10.180 1.20.1050.10.5
3dc0 3.20.20.80.152 2.60.40.1180.86 3g6m 3.20.20.80.96 3.10.50.10.7
3dc0 3.20.20.80.152 2.60.40.1180.86 3alf 3.20.20.80.98 3.10.50.10.3
1mwo 3.20.20.80.70 2.60.40.1180.10 3w4r 3.20.20.80.132 3.10.50.10.2
1t46 3.30.200.20.39 1.10.510.10.16 4dca 3.30.200.20.96 3.90.1200.10.8
2cb9 3.40.50.1820.226 6.10.300.10.1 3ibt 3.40.50.1820.223 1.10.210.20.2
4x9y 3.20.20.80.15 2.60.40.1180.1 3g6m 3.20.20.80.96 3.10.50.10.7
4x9y 3.20.20.80.15 2.60.40.1180.1 3alf 3.20.20.80.98 3.10.50.10.3
5icq 3.40.190.10.385 3.10.105.10.18 4got 3.40.190.10.62 3.40.190.10.244
4x9y 3.20.20.80.15 2.60.40.1180.1 1vf8 3.20.20.80.27 3.10.50.10.2
5a2a 3.20.20.80.90 2.60.40.1180.40 3g6m 3.20.20.80.96 3.10.50.10.7
1itx 3.20.20.80.7 3.10.50.10.1 3suu 3.20.20.80.46 3.30.379.10.5
5a2a 3.20.20.80.90 2.60.40.1180.40 3alf 3.20.20.80.98 3.10.50.10.3
1l8t 3.30.200.20.114 3.90.1200.10.18 5cem 3.30.200.20.181 1.10.510.10.81
1w9h 3.40.50.2300.126 3.30.420.10.56 4rs3 3.40.50.2300.26 3.40.50.2300.7
5a2a 3.20.20.80.90 2.60.40.1180.40 1vf8 3.20.20.80.27 3.10.50.10.2
3lkm 3.30.200.20.212 3.20.200.10.1 5cem 3.30.200.20.181 1.10.510.10.81
2qor 3.40.50.300.400 3.30.63.10.4 2ze6 3.40.50.300.473 1.10.287.890.2
3lkm 3.30.200.20.212 3.20.200.10.1 4btk 3.30.200.20.148 1.10.510.10.18
3co4 3.20.20.80.192 3.40.5.30.1 3suu 3.20.20.80.46 3.30.379.10.5
3suu 3.20.20.80.46 3.30.379.10.5 3w4r 3.20.20.80.132 3.10.50.10.2
5icq 3.40.190.10.385 3.10.105.10.18 3oen 3.40.190.10.74 3.40.190.10.176
2axn 3.40.50.300.48 3.40.50.1240.14 2o5v 3.40.50.300.96 1.20.1050.90.1
4ofj 3.40.190.10.372 3.10.105.10.9 3un6 3.40.190.10.275 3.40.190.10.313
2o5v 3.40.50.300.96 1.20.1050.90.1 3crr 3.40.50.300.330 1.10.287.890.1
4d3z 3.40.50.1460.11 1.10.132.130.1 3v55 3.40.50.1460.7 2.60.40.3360.1
3i3l 3.50.50.60.194 3.30.390.160.1 3c4a 3.50.50.60.90 3.30.9.20.1
2cb9 3.40.50.1820.226 6.10.300.10.1 1yr2 3.40.50.1820.20 2.130.10.120.4
3gb2 3.30.200.20.80 1.10.510.10.84 3lkm 3.30.200.20.212 3.20.200.10.1
1wf3 3.40.50.300.162 3.30.300.20.10 3crr 3.40.50.300.330 1.10.287.890.1
1wf3 3.40.50.300.162 3.30.300.20.10 2o5v 3.40.50.300.96 1.20.1050.90.1
4i92 3.30.200.20.16 1.10.510.10.24 4dca 3.30.200.20.96 3.90.1200.10.8
3dc0 3.20.20.80.152 2.60.40.1180.86 3w4r 3.20.20.80.132 3.10.50.10.2
3ka7 3.50.50.60.53 3.90.660.50.1 4x9m 3.50.50.60.84 3.30.9.10.20
1mwo 3.20.20.80.70 2.60.40.1180.10 3suu 3.20.20.80.46 3.30.379.10.5
4x9y 3.20.20.80.15 2.60.40.1180.1 3w4r 3.20.20.80.132 3.10.50.10.2
1l8t 3.30.200.20.114 3.90.1200.10.18 4f0f 3.30.200.20.58 1.10.510.10.34
4wpg 3.40.50.720.3 3.90.25.10.12 3c7a 3.40.50.720.162 1.10.1040.10.43
1w9h 3.40.50.2300.126 3.30.420.10.56 3ip5 3.40.50.2300.216 3.40.50.2300.13
3a1t 3.40.50.300.132 1.10.287.1770.1 3crr 3.40.50.300.330 1.10.287.890.1
3lkm 3.30.200.20.212 3.20.200.10.1 4f0f 3.30.200.20.58 1.10.510.10.34
5a2a 3.20.20.80.90 2.60.40.1180.40 3w4r 3.20.20.80.132 3.10.50.10.2
4ofj 3.40.190.10.372 3.10.105.10.9 2v3u 3.40.190.10.6 3.40.190.10.225
1s6y 3.40.50.720.449 3.90.110.10.16 3c7a 3.40.50.720.162 1.10.1040.10.43
1l8t 3.30.200.20.114 3.90.1200.10.18 5ei6 3.30.200.20.95 1.10.510.10.82
1w9h 3.40.50.2300.126 3.30.420.10.56 3d02 3.40.50.2300.15 3.40.50.2300.14
4ofj 3.40.190.10.372 3.10.105.10.9 1xs5 3.40.190.10.117 3.40.190.10.149
1itx 3.20.20.80.7 3.10.50.10.1 5a2a 3.20.20.80.90 2.60.40.1180.40
3c4a 3.50.50.60.90 3.30.9.20.1 3rp7 3.50.50.60.106 3.30.9.30.2
3lkm 3.30.200.20.212 3.20.200.10.1 5ei6 3.30.200.20.95 1.10.510.10.82
5icq 3.40.190.10.385 3.10.105.10.18 2ons 3.40.190.10.30 3.40.190.10.31
3gb2 3.30.200.20.80 1.10.510.10.84 4dca 3.30.200.20.96 3.90.1200.10.8
2ip1 3.40.50.620.59 1.10.240.10.5 1nzj 3.40.50.620.52 3.40.50.620.48
3i3l 3.50.50.60.194 3.30.390.160.1 3ka7 3.50.50.60.53 3.90.660.50.1
2xsb 3.20.20.80.187 1.20.58.240.1 4nzc 3.20.20.80.102 3.10.50.10.11
1l8t 3.30.200.20.114 3.90.1200.10.18 2w5a 3.30.200.20.165 1.10.510.10.23
4xvh 2.60.120.260.131 3.40.50.1110.19 3c7e 2.60.120.260.58 2.115.10.20.4
1mwo 3.20.20.80.70 2.60.40.1180.10 2xsb 3.20.20.80.187 1.20.58.240.1
4ofj 3.40.190.10.372 3.10.105.10.9 2czl 3.40.190.10.138 3.40.190.10.243
2rb5 3.40.50.1000.1 3.30.1240.10.1 2wf7 3.40.50.1000.8 1.10.150.240.1
5e8s 3.30.200.20.38 1.10.510.10.30 4dca 3.30.200.20.96 3.90.1200.10.8
4ofj 3.40.190.10.372 3.10.105.10.9 2v84 3.40.190.10.109 3.40.190.10.95
4ofj 3.40.190.10.372 3.10.105.10.9 1si0 3.40.190.10.5 3.40.190.10.48
1lj8 3.40.50.720.466 1.10.1040.10.39 4wpg 3.40.50.720.3 3.90.25.10.12
1pb8 3.40.190.10.73 3.40.190.10.137 5icq 3.40.190.10.385 3.10.105.10.18
2axn 3.40.50.300.48 3.40.50.1240.14 1wf3 3.40.50.300.162 3.30.300.20.10
1l8t 3.30.200.20.114 3.90.1200.10.18 3fhr 3.30.200.20.126 1.10.510.10.59
1w9h 3.40.50.2300.126 3.30.420.10.56 3s99 3.40.50.2300.190 3.40.50.2300.345
3dc0 3.20.20.80.152 2.60.40.1180.86 3suu 3.20.20.80.46 3.30.379.10.5
1o6g 3.40.50.1820.20 2.130.10.120.1 4ezi 3.40.50.1820.29 1.10.260.160.1
4ofj 3.40.190.10.372 3.10.105.10.9 1pb8 3.40.190.10.73 3.40.190.10.137
3lkm 3.30.200.20.212 3.20.200.10.1 4dca 3.30.200.20.96 3.90.1200.10.8
3i3l 3.50.50.60.194 3.30.390.160.1 3oz2 3.50.50.60.12 3.30.9.10.5
3gmf 3.40.30.10.191 1.10.40.110.1 1z6m 3.40.30.10.25 1.10.1200.90.1
3ibt 3.40.50.1820.223 1.10.210.20.2 1yr2 3.40.50.1820.20 2.130.10.120.4
2axn 3.40.50.300.48 3.40.50.1240.14 3crr 3.40.50.300.330 1.10.287.890.1
4ezi 3.40.50.1820.29 1.10.260.160.1 1yr2 3.40.50.1820.20 2.130.10.120.4
2w5a 3.30.200.20.165 1.10.510.10.23 3lkm 3.30.200.20.212 3.20.200.10.1
3co4 3.20.20.80.192 3.40.5.30.1 4nzc 3.20.20.80.102 3.10.50.10.11
1s6y 3.40.50.720.449 3.90.110.10.16 4wpg 3.40.50.720.3 3.90.25.10.12
4ofj 3.40.190.10.372 3.10.105.10.9 4i62 3.40.190.10.2 3.40.190.10.147
1lj8 3.40.50.720.466 1.10.1040.10.39 4ffl 3.40.50.720.549 3.30.470.20.24
2xsb 3.20.20.80.187 1.20.58.240.1 5a2a 3.20.20.80.90 2.60.40.1180.40
1itx 3.20.20.80.7 3.10.50.10.1 3dc0 3.20.20.80.152 2.60.40.1180.86
1itx 3.20.20.80.7 3.10.50.10.1 4x9y 3.20.20.80.15 2.60.40.1180.1
2qor 3.40.50.300.400 3.30.63.10.4 3crr 3.40.50.300.330 1.10.287.890.1
2zo4 3.60.15.10.37 1.10.10.10.397 2i7v 3.60.15.10.41 3.40.50.10890.2
