PDB1 CATH1 CATH2 PDB2 CATH1 CATH2
4r8q 6.10.130.20.1 1.10.510.10.132 2w5a 3.30.200.20.165 1.10.510.10.23
4g97 1.20.140.160.2 3.40.50.2300.70 1z17 3.40.50.2300.216 3.40.50.2300.13
4r8q 6.10.130.20.1 1.10.510.10.132 3hko 3.30.200.20.59 1.10.510.10.75
4g97 1.20.140.160.2 3.40.50.2300.70 3ip5 3.40.50.2300.216 3.40.50.2300.13
4g97 1.20.140.160.2 3.40.50.2300.70 4m88 3.40.50.2300.335 3.40.50.2300.99
4r8q 6.10.130.20.1 1.10.510.10.132 3fhr 3.30.200.20.126 1.10.510.10.59
4r8q 6.10.130.20.1 1.10.510.10.132 1t46 3.30.200.20.39 1.10.510.10.16
4g97 1.20.140.160.2 3.40.50.2300.70 3d02 3.40.50.2300.15 3.40.50.2300.14
4zye 3.30.160.70.1 1.10.10.10.57 5d6f 3.90.230.10.8 1.10.10.10.28
1r6x 3.10.400.10.1 3.40.50.620.4 1nzj 3.40.50.620.52 3.40.50.620.48
4r8q 6.10.130.20.1 1.10.510.10.132 5cem 3.30.200.20.181 1.10.510.10.81
2zo4 3.60.15.10.37 1.10.10.10.397 2q8k 3.90.230.10.10 1.10.10.10.210
4r8q 6.10.130.20.1 1.10.510.10.132 4btk 3.30.200.20.148 1.10.510.10.18
4r8q 6.10.130.20.1 1.10.510.10.132 3bhy 3.30.200.20.5 1.10.510.10.10
4r8q 6.10.130.20.1 1.10.510.10.132 4r1v 3.30.200.20.19 1.10.510.10.7
2q8k 3.90.230.10.10 1.10.10.10.210 4zye 3.30.160.70.1 1.10.10.10.57
4r8q 6.10.130.20.1 1.10.510.10.132 2r3i 3.30.200.20.49 1.10.510.10.6
4r8q 6.10.130.20.1 1.10.510.10.132 2qlu 3.30.200.20.38 1.10.510.10.36
4r8q 6.10.130.20.1 1.10.510.10.132 4i92 3.30.200.20.16 1.10.510.10.24
4g97 1.20.140.160.2 3.40.50.2300.70 4y9t 3.40.50.2300.113 3.40.50.2300.188
2zo4 3.60.15.10.37 1.10.10.10.397 4zye 3.30.160.70.1 1.10.10.10.57
4g97 1.20.140.160.2 3.40.50.2300.70 3i45 3.40.50.2300.224 3.40.50.2300.114
4r8q 6.10.130.20.1 1.10.510.10.132 2h6d 3.30.200.20.98 1.10.510.10.52
4g97 1.20.140.160.2 3.40.50.2300.70 3s99 3.40.50.2300.190 3.40.50.2300.345
4i35 2.150.10.10.1 3.40.390.10.9 3khi 1.10.472.150.1 3.40.390.10.27
4no7 3.40.367.20.2 3.30.420.40.9 3hz6 3.30.420.40.144 3.30.420.40.137
2zo4 3.60.15.10.37 1.10.10.10.397 5d6f 3.90.230.10.8 1.10.10.10.28
4r8q 6.10.130.20.1 1.10.510.10.132 3gb2 3.30.200.20.80 1.10.510.10.84
4g97 1.20.140.160.2 3.40.50.2300.70 4rs3 3.40.50.2300.26 3.40.50.2300.7
4r8q 6.10.130.20.1 1.10.510.10.132 4f0f 3.30.200.20.58 1.10.510.10.34
4g97 1.20.140.160.2 3.40.50.2300.70 3uk0 3.40.50.2300.208 3.40.50.2300.6
4g97 1.20.140.160.2 3.40.50.2300.70 4yle 3.40.50.2300.111 3.40.50.2300.81
4no7 3.40.367.20.2 3.30.420.40.9 2ivn 3.30.420.40.23 3.30.420.40.7
4r8q 6.10.130.20.1 1.10.510.10.132 5ei6 3.30.200.20.95 1.10.510.10.82
4g97 1.20.140.160.2 3.40.50.2300.70 3lop 3.40.50.2300.309 3.40.50.2300.59
4r8q 6.10.130.20.1 1.10.510.10.132 5e8s 3.30.200.20.38 1.10.510.10.30
3qdh 2.60.40.740.9 2.60.40.10.348 2fbo 2.60.40.10.294 2.60.40.10.296
4g97 1.20.140.160.2 3.40.50.2300.70 4f06 3.40.50.2300.152 3.40.50.2300.49
2yhs 1.20.120.140.4 3.40.50.300.23 1f5n 1.20.1000.10.1 3.40.50.300.158
4g97 1.20.140.160.2 3.40.50.2300.70 4kqc 3.40.50.2300.71 3.40.50.2300.67
4aru 3.40.50.1240.13 3.40.50.1240.25 2axn 3.40.50.300.48 3.40.50.1240.14
